iter	Passed	Remaining
0	16	16459
1	32	16080
2	47	15624
3	59	14728
4	72	14509
5	89	14819
6	104	14854
7	119	14758
8	132	14622
9	147	14593
10	164	14814
11	180	14840
12	196	14894
13	212	14962
14	228	15030
15	244	15027
16	259	15026
17	275	15013
18	292	15080
19	307	15061
20	319	14878
21	335	14909
22	349	14847
23	364	14826
24	378	14779
25	393	14729
26	408	14735
27	425	14768
28	441	14779
29	457	14785
30	472	14775
31	486	14711
32	499	14643
33	514	14605
34	529	14600
35	545	14596
36	560	14575
37	575	14559
38	591	14576
39	606	14554
40	621	14545
41	637	14540
42	653	14535
43	668	14535
44	682	14488
45	695	14427
46	711	14425
47	727	14425
48	744	14447
49	760	14448
50	776	14452
51	790	14408
52	805	14391
53	820	14369
54	836	14378
55	855	14419
56	870	14399
57	890	14465
58	906	14462
59	924	14480
60	941	14488
61	959	14511
62	975	14512
63	1008	14752
64	1025	14749
65	1043	14770
66	1088	15163
67	1116	15297
68	1148	15493
69	1176	15634
70	1225	16037
71	1266	16317
72	1310	16645
73	1327	16608
74	1339	16520
75	1357	16509
76	1373	16460
77	1387	16401
78	1402	16350
79	1416	16292
80	1430	16224
81	1443	16159
82	1457	16100
83	1470	16037
84	1485	15993
85	1501	15957
86	1517	15929
87	1534	15899
88	1548	15846
89	1562	15798
90	1579	15778
91	1595	15744
92	1613	15731
93	1627	15689
94	1642	15642
95	1662	15651
96	1676	15607
97	1689	15554
98	1704	15517
99	1720	15485
100	1733	15429
101	1748	15395
102	1765	15374
103	1781	15346
104	1795	15302
105	1810	15271
106	1827	15253
107	1844	15232
108	1861	15212
109	1877	15193
110	1893	15163
111	1909	15139
112	1927	15130
113	1944	15115
114	1962	15100
115	1979	15088
116	2002	15112
117	2020	15099
118	2035	15068
119	2049	15032
120	2062	14982
121	2078	14960
122	2093	14927
123	2107	14887
124	2122	14858
125	2140	14849
126	2154	14810
127	2168	14774
128	2183	14741
129	2200	14723
130	2215	14695
131	2228	14651
132	2242	14620
133	2258	14596
134	2273	14570
135	2293	14567
136	2310	14551
137	2325	14524
138	2340	14500
139	2356	14473
140	2370	14442
141	2386	14419
142	2405	14416
143	2422	14398
144	2436	14366
145	2454	14358
146	2467	14315
147	2480	14280
148	2495	14250
149	2507	14209
150	2521	14175
151	2538	14161
152	2555	14146
153	2571	14127
154	2587	14106
155	2602	14081
156	2618	14059
157	2632	14030
158	2646	14000
159	2660	13969
160	2680	13966
161	2695	13942
162	2709	13915
163	2725	13892
164	2740	13868
165	2755	13842
166	2769	13813
167	2782	13780
168	2798	13760
169	2814	13741
170	2831	13728
171	2849	13716
172	2865	13697
173	2883	13686
174	2900	13674
175	2918	13662
176	2935	13648
177	2953	13640
178	2968	13617
179	2985	13598
180	3000	13575
181	3015	13551
182	3028	13522
183	3043	13498
184	3058	13474
185	3073	13452
186	3088	13426
187	3101	13393
188	3114	13364
189	3129	13342
190	3145	13321
191	3160	13302
192	3175	13278
193	3195	13274
194	3226	13318
195	3239	13287
196	3253	13261
197	3268	13240
198	3283	13215
199	3297	13191
200	3312	13169
201	3327	13145
202	3339	13112
203	3354	13089
204	3369	13067
205	3383	13041
206	3397	13013
207	3409	12982
208	3424	12962
209	3439	12938
210	3454	12917
211	3469	12895
212	3484	12874
213	3498	12851
214	3514	12832
215	3529	12809
216	3544	12788
217	3558	12765
218	3573	12743
219	3585	12713
220	3600	12691
221	3618	12679
222	3629	12647
223	3642	12617
224	3656	12595
225	3671	12573
226	3686	12552
227	3701	12533
228	3716	12512
229	3730	12489
230	3749	12480
231	3766	12469
232	3781	12447
233	3797	12430
234	3812	12410
235	3828	12393
236	3848	12388
237	3864	12373
238	3882	12362
239	3900	12350
240	3916	12335
241	3932	12316
242	3947	12298
243	3964	12282
244	3978	12259
245	3992	12235
246	4014	12237
247	4029	12218
248	4044	12198
249	4060	12181
250	4076	12165
251	4092	12148
252	4107	12126
253	4120	12101
254	4133	12076
255	4152	12067
256	4167	12049
257	4182	12030
258	4196	12004
259	4210	11983
260	4224	11960
261	4239	11941
262	4257	11929
263	4270	11906
264	4286	11889
265	4300	11866
266	4312	11839
267	4324	11811
268	4339	11791
269	4354	11772
270	4369	11753
271	4384	11735
272	4400	11719
273	4418	11706
274	4432	11686
275	4448	11668
276	4462	11648
277	4475	11623
278	4490	11605
279	4506	11589
280	4521	11570
281	4540	11559
282	4557	11546
283	4572	11528
284	4588	11510
285	4603	11492
286	4618	11473
287	4633	11454
288	4647	11432
289	4661	11413
290	4676	11393
291	4690	11372
292	4705	11353
293	4719	11333
294	4733	11312
295	4747	11290
296	4761	11270
297	4777	11255
298	4794	11240
299	4811	11227
300	4829	11214
301	4846	11200
302	4862	11185
303	4878	11169
304	4894	11152
305	4910	11136
306	4926	11120
307	4941	11102
308	4959	11090
309	4974	11072
310	4989	11053
311	5004	11034
312	5018	11015
313	5032	10995
314	5048	10978
315	5063	10960
316	5079	10943
317	5094	10925
318	5107	10902
319	5121	10883
320	5136	10865
321	5148	10841
322	5163	10823
323	5178	10804
324	5192	10784
325	5206	10764
326	5219	10743
327	5235	10725
328	5251	10709
329	5265	10690
330	5280	10672
331	5293	10650
332	5305	10627
333	5320	10609
334	5336	10593
335	5353	10579
336	5367	10560
337	5383	10543
338	5397	10525
339	5412	10506
340	5427	10488
341	5441	10469
342	5454	10448
343	5468	10428
344	5483	10410
345	5496	10388
346	5509	10368
347	5525	10352
348	5541	10336
349	5556	10319
